,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684728307.4860663,89327.0,0.115,0.396,0.078,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.4166666666666667, 'root--jaeger': 1.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.06666666666666667, 'root--search': 0.0, 'root--user': 0.13333333333333333}",1684728307.4860663,1684728337.523538
1684728337.5240889,89325.0,0.119,0.445,0.106,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.06666666666666667, 'root--jaeger': 1.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 0.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.5166666666666667, 'root--reservation': 0.03333333333333333, 'root--search': 0.0, 'root--user': 0.0}",1684728337.5240889,1684728367.5669627
1684728367.5674694,89326.0,0.131,0.566,0.231,"{'root--consul': 0.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.6, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.18333333333333332, 'root--mongodb-profile': 0.18333333333333332, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.6, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.06666666666666667, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684728367.5674694,1684728397.6257887
1684728397.6263204,89325.0,0.118,0.444,0.091,"{'root--consul': 0.5333333333333333, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.05, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.45, 'root--search': 0.0, 'root--user': 0.0}",1684728397.6263204,1684728427.6501186
1684728427.6506274,89327.0,0.131,0.467,0.417,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684728427.6506274,1684728457.6904438
1684728457.6909335,89328.0,0.118,0.45,0.126,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.36666666666666664, 'root--search': 0.0, 'root--user': 0.0}",1684728457.6909335,1684728487.731781
1684728487.7322583,89325.0,0.115,0.401,0.082,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.11666666666666667, 'root--search': 0.0, 'root--user': 0.45}",1684728487.7322583,1684728517.7688034
1684728517.7693107,89327.0,0.125,0.513,0.183,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.0, 'root--jaeger': 0.0, 'root--memcached-profile': 0.9180327868852459, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.9180327868852459, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.9180327868852459, 'root--mongodb-recommendation': 0.0, 'root--mongodb-reservation': 0.0, 'root--mongodb-user': 0.0, 'root--profile': 0.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684728517.7693107,1684728548.306352
1684728548.3068328,89329.0,0.119,0.454,0.162,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.45, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 0.9, 'root--mongodb-reservation': 0.8333333333333334, 'root--mongodb-user': 0.0, 'root--profile': 0.11666666666666667, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684728548.3068328,1684728578.3398476
1684728578.3403554,89330.0,0.117,0.434,0.09,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 0.45, 'root--jaeger': 0.0, 'root--memcached-profile': 0.0, 'root--memcached-rate': 0.0, 'root--memcached-reserve': 0.0, 'root--mongodb-geo': 0.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 0.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 0.0, 'root--profile': 1.0, 'root--rate': 0.0, 'root--recommendation': 0.0, 'root--reservation': 0.0, 'root--search': 0.0, 'root--user': 0.0}",1684728578.3403554,1684728608.3850677
